fixNum_f,numSaccs_f,trialNum_f,rawTrialNum_f,rewardedSacc_f,saccPeakVel_f,expectedPeakVel_f,t_fix_f,t_sacc_f,x_targ_f,y_targ_f,x_dist_f,y_dist_f,x_curFix_f,y_curFix_f
1,5,1,1,0,444.253051757813,422.021942138672,10132,10384,-15.2455111728552,-15.2455111728552,15.1505235643016,15.1505235643016,0.903306663036346,0.179365023970604
2,5,1,1,0,865.43310546875,875.482238769531,10449,10653,-15.2455111728552,-15.2455111728552,15.1505235643016,15.1505235643016,-10.9604825973511,4.07827138900757
3,5,1,1,0,213.598663330078,214.152542114258,10739,10972,-15.2455111728552,-15.2455111728552,15.1505235643016,15.1505235643016,13.032172203064,12.7942047119141
4,5,1,1,0,995.226257324219,990.753356933594,11026,11564,-15.2455111728552,-15.2455111728552,15.1505235643016,15.1505235643016,16.1528759002686,16.2568683624268
5,5,1,1,0,843.637268066406,810.917297363281,11658,11851,-15.2455111728552,-15.2455111728552,15.1505235643016,15.1505235643016,-14.7935628890991,12.0781412124634
1,5,2,4,0,571.522033691406,584.643432617188,29240,29491,-21.3247181202866,2.99210966943887,21.3247181202866,-15.1505235643016,0.789283931255341,-0.267397224903107
2,5,2,4,0,508.024353027344,499.941009521484,29574,29827,-21.3247181202866,2.99210966943887,21.3247181202866,-15.1505235643016,-10.0825128555298,13.881760597229
3,5,2,4,1,92.0769805908203,95.7721710205078,29901,30063,-21.3247181202866,2.99210966943887,21.3247181202866,-15.1505235643016,-16.5506496429443,1.24032855033875
4,5,2,4,0,150.141265869141,159.706695556641,30102,30473,-21.3247181202866,2.99210966943887,21.3247181202866,-15.1505235643016,-18.0894584655762,2.89213943481445
5,5,2,4,0,668.369995117188,820.591064453125,30530,30894,-21.3247181202866,2.99210966943887,21.3247181202866,-15.1505235643016,-21.77663230896,4.01657962799072
1,6,3,7,0,401.428802490234,437.990844726563,49485,49780,21.229730511733,-3.08709727799249,-21.229730511733,3.08709727799249,0.819625794887543,-0.312598884105682
2,6,3,7,0,273.671142578125,313.111877441406,49864,50049,21.229730511733,-3.08709727799249,-21.229730511733,3.08709727799249,-10.7506799697876,6.12081289291382
3,6,3,7,0,181.956085205078,147.620025634766,50130,50771,21.229730511733,-3.08709727799249,-21.229730511733,3.08709727799249,-17.9445629119873,2.94635987281799
4,6,3,7,0,546.009521484375,533.231628417969,50823,51050,21.229730511733,-3.08709727799249,-21.229730511733,3.08709727799249,-22.174783706665,3.34691882133484
5,6,3,7,0,73.3037948608398,76.9099349975586,51128,51304,21.229730511733,-3.08709727799249,-21.229730511733,3.08709727799249,-14.8430786132813,-9.352463722229
6,6,3,7,0,413.825012207031,424.431945800781,51339,51590,21.229730511733,-3.08709727799249,-21.229730511733,3.08709727799249,-15.8431205749512,-7.94110536575317
1,2,4,11,1,356.3408203125,268.283630371094,76077,76319,2.99210966943887,-9.16630422542385,-21.3247181202866,2.99210966943887,0.394228011369705,-0.548071682453156
2,2,4,11,0,859.191711425781,797.501770019531,76350,77098,2.99210966943887,-9.16630422542385,-21.3247181202866,2.99210966943887,3.86437392234802,-8.83588600158691
1,8,5,13,0,423.95068359375,396.465759277344,90626,91083,15.1505235643016,-15.2455111728552,-15.2455111728552,-15.2455111728552,-0.363271355628967,0.0275342669337988
2,8,5,13,0,625.714477539063,572.7880859375,91137,91441,15.1505235643016,-15.2455111728552,-15.2455111728552,-15.2455111728552,-4.82161140441895,10.9868440628052
3,8,5,13,0,440.744232177734,418.980010986328,91505,91696,15.1505235643016,-15.2455111728552,-15.2455111728552,-15.2455111728552,-13.8277711868286,-3.03603911399841
4,8,5,13,0,284.412963867188,279.904083251953,91757,92253,15.1505235643016,-15.2455111728552,-15.2455111728552,-15.2455111728552,-9.79413318634033,-14.2024984359741
5,8,5,13,0,214.844833374023,175.53581237793,92299,92632,15.1505235643016,-15.2455111728552,-15.2455111728552,-15.2455111728552,-16.2796878814697,-11.0696249008179
6,8,5,13,0,637.77587890625,569.940002441406,93907,94123,15.1505235643016,-15.2455111728552,-15.2455111728552,-15.2455111728552,-12.12451171875,-1.59552431106567
7,8,5,13,0,481.318542480469,457.695434570313,94185,94477,15.1505235643016,-15.2455111728552,-15.2455111728552,-15.2455111728552,3.55395340919495,3.16495132446289
8,8,5,13,0,727.742553710938,682.256103515625,96303,96888,15.1505235643016,-15.2455111728552,-15.2455111728552,-15.2455111728552,-5.14370965957642,6.59592247009277
1,3,6,14,0,324.654022216797,349.500854492188,102031,102233,9.07131661687024,-9.16630422542385,-9.16630422542385,9.07131661687024,-0.478964447975159,-0.0524754710495472
2,3,6,14,0,187.111282348633,198.273880004883,102311,102471,9.07131661687024,-9.16630422542385,-9.16630422542385,9.07131661687024,-9.78532123565674,3.14770793914795
3,3,6,14,0,327.986938476563,390.961364746094,102535,103295,9.07131661687024,-9.16630422542385,-9.16630422542385,9.07131661687024,-9.98619174957275,8.77188968658447
1,7,7,16,0,492.0029296875,483.149200439453,115044,115290,21.229730511733,-3.08709727799249,-21.3247181202866,-3.08709727799249,-0.228610083460808,-1.39092218875885
2,7,7,16,0,771.311157226563,694.207275390625,115364,115680,21.229730511733,-3.08709727799249,-21.3247181202866,-3.08709727799249,-4.89565277099609,12.2298431396484
3,7,7,16,0,846.038024902344,801.191101074219,115811,115980,21.229730511733,-3.08709727799249,-21.3247181202866,-3.08709727799249,9.7350435256958,-2.69714069366455
4,7,7,16,0,107.08203125,100.014427185059,116104,116202,21.229730511733,-3.08709727799249,-21.3247181202866,-3.08709727799249,-15.3858308792114,-3.87040710449219
5,7,7,16,0,116.605888366699,128.155960083008,116236,116454,21.229730511733,-3.08709727799249,-21.3247181202866,-3.08709727799249,-17.7671985626221,-3.21972632408142
6,7,7,16,0,549.794555664063,628.278259277344,116505,117128,21.229730511733,-3.08709727799249,-21.3247181202866,-3.08709727799249,-19.7994327545166,-1.80789124965668
7,7,7,16,0,485.78857421875,491.322082519531,117220,117517,21.229730511733,-3.08709727799249,-21.3247181202866,-3.08709727799249,-0.968454658985138,1.04023706912994
1,4,8,17,1,533.276733398438,523.9931640625,122501,122679,-3.08709727799249,15.1505235643016,9.07131661687024,-3.08709727799249,-0.191778227686882,0.336329609155655
2,4,8,17,0,495.456390380859,549.403625488281,122763,123535,-3.08709727799249,15.1505235643016,9.07131661687024,-3.08709727799249,-4.03903436660767,14.7475442886353
3,4,8,17,0,412.483917236328,422.383148193359,123630,123806,-3.08709727799249,15.1505235643016,9.07131661687024,-3.08709727799249,5.26487445831299,3.85284113883972
4,4,8,17,0,531.286254882813,580.125671386719,123882,124090,-3.08709727799249,15.1505235643016,9.07131661687024,-3.08709727799249,-3.86384296417236,11.1464653015137
